"","DATE","HOUR","STATION","FSP","NO2","NOX","O3","RSP","SO2"
"70705","8/1/11",1,"CENTRAL/WESTERN",12,45,104,4,15,20
"70706","8/1/11",2,"CENTRAL/WESTERN",15,48,160,3,24,24
"70707","8/1/11",3,"CENTRAL/WESTERN",16,44,132,3,15,26
"70708","8/1/11",4,"CENTRAL/WESTERN",11,34,86,6,16,23
"70709","8/1/11",5,"CENTRAL/WESTERN",15,39,130,4,20,34
"70710","8/1/11",6,"CENTRAL/WESTERN",21,41,171,3,24,52
"70711","8/1/11",7,"CENTRAL/WESTERN",21,45,223,5,29,90
"70712","8/1/11",8,"CENTRAL/WESTERN",26,49,276,5,41,103
"70713","8/1/11",9,"CENTRAL/WESTERN",33,50,265,5,33,81
"70714","8/1/11",10,"CENTRAL/WESTERN",23,44,163,6,27,34
"70715","8/1/11",11,"CENTRAL/WESTERN",18,42,150,8,17,24
"70718","8/1/11",14,"CENTRAL/WESTERN",12,39,90,23,20,15
"70719","8/1/11",15,"CENTRAL/WESTERN",12,41,90,24,22,14
"70720","8/1/11",16,"CENTRAL/WESTERN",14,49,109,21,32,28
"70721","8/1/11",17,"CENTRAL/WESTERN",16,47,85,25,28,22
"70722","8/1/11",18,"CENTRAL/WESTERN",13,56,102,19,25,21
"70723","8/1/11",19,"CENTRAL/WESTERN",16,59,107,7,25,26
"70725","8/1/11",21,"CENTRAL/WESTERN",9,35,49,21,23,13
"70726","8/1/11",22,"CENTRAL/WESTERN",10,32,43,27,22,14
"70728","8/1/11",24,"CENTRAL/WESTERN",12,57,177,3,22,23
"70729","9/1/11",1,"CENTRAL/WESTERN",44,72,96,10,64,23
"70730","9/1/11",2,"CENTRAL/WESTERN",41,51,57,28,50,23
"70731","9/1/11",3,"CENTRAL/WESTERN",40,60,68,14,62,31
"70732","9/1/11",4,"CENTRAL/WESTERN",41,51,61,21,49,13
"70733","9/1/11",5,"CENTRAL/WESTERN",39,63,86,9,53,31
"70734","9/1/11",6,"CENTRAL/WESTERN",39,40,44,25,41,20
"70735","9/1/11",7,"CENTRAL/WESTERN",32,57,75,7,50,28
"70736","9/1/11",8,"CENTRAL/WESTERN",35,66,123,6,50,44
"70737","9/1/11",9,"CENTRAL/WESTERN",40,73,153,7,53,46
"70738","9/1/11",10,"CENTRAL/WESTERN",38,66,132,15,52,48
"70742","9/1/11",14,"CENTRAL/WESTERN",50,99,127,37,56,33
